id,keyword,location,text,target,preprocessed_text,predicted_label
329,annihilated,South 37,@PhilipDuncan @breakfastone People 'annihilated by last nights weather'... Really Philip thought you would have forecast that...,1,people annihilated last night weather really philip thought would forecast that,4
478,armageddon,"Toronto, ON",@Erker Again?? Eep! Thought of you yesterday when I saw that hella scary hail. #armageddon?,1,again eep thought yesterday saw hella scary hail armageddon,4
940,blaze,"Fresno, CA",Love living on my own. I can blaze inside my apt or on the balcony,1,love living own blaze inside apt balcony,4
1061,bleeding,"Live Oak, TX",@KatRamsland Yes I'm a bleeding heart liberal.,1,yes im bleeding heart liberal,4
1560,bomb,lagos nigeria,If I fall is men GOD @Praiz8 is d bomb well av always known dat since 2008 bigger u I pray sir,1,fall men god bomb well av always known dat since bigger u pray sir,4
1945,burning buildings,"Seattle, WA",I will never support looting or the burning of buildings but when seeing the people fight back against the police. I was proud,1,never support looting burning building seeing people fight back police proud,4
2043,casualties,USA,Another day has passed and THANKFULLY Central Command has CONFIRMED NO new casualties. Please pray for those in... http://t.co/mFSw0tYstA,1,another day passed thankfully central command confirmed new casualties please pray in,4
2263,cliff fall,nyc,ok peace I hope I fall off a cliff along with my dignity,1,ok peace hope fall cliff along dignity,4
2468,collided,"St. Joseph, Minnesota",Two trains have collided in India. Please pray for victims their families and rescuers.,1,two train collided india please pray victim family rescuers,4
3414,derail, Road to the Billionaires Club,@TemecaFreeman GM! I pray any attack of the enemy 2 derail ur destiny is blocked by the Lord &amp; that He floods ur life w/heavenly Blessings,1,gm pray attack enemy derail ur destiny blocked lord amp flood ur life wheavenly blessing,4
4140,drought,Ashxjonespr@gmail.com,Thought it was a drought @_ASHJ? http://t.co/V4Br5gjMIY,1,thought drought ,4
4141,drought,miami,@_gaabyx we got purple activist I thought it was a drought,1,got purple activist thought drought,4
5454,first responders,"Stalybridge, Tameside",At the #999day Emergency Services display! Meeting the brave police firefighters and first responders that help keep us safe! ????????,1, emergency service display meeting brave police firefighter first responder help keep u safe ,4
5638,flooding,"California, USA",So grateful for all the support flooding in from @NetkiCorp dinner guests! THANK YOU ALL! https://t.co/ELTne5v1Qn,1,grateful support flooding dinner guests thank all,4
5694,floods,no_location,May Allah help all those suffering from the #Pakistan floods! You and your families are in our #Dua,1,may allah help suffering pakistan floods family dua,4
5765,forest fires,no_location,PRAY! For EAST COAST FOREST FIRES! PRAY! That they be put out. PRAY! For RAIN!,1,pray east coast forest fires pray put out pray rain,4
6420,hurricane,no_location,@pattonoswalt @FoxNews Wait I thought Fecal Hurricane was on SciFi? Maybe that was turdnado. I've been forgeting up a shit storm lately.,1,wait thought fecal hurricane scifi maybe turdnado ive forgeting shit storm lately,4
6541,injury,Somewhere in China.,Jack Wilshere has poor injury recordand his off field behaviors doesn't help.#Arsenal,1,jack wilshere poor injury recordand field behavior helparsenal,4
6702,lava,probably watching survivor,The sunset looked like an erupting volcano .... My initial thought was the Pixar short Lava http://t.co/g4sChqFEsT,1,sunset looked like erupting volcano initial thought pixar short lava,4
6885,mass murder,no_location,@JakeGint the mass murder got her hot and bothered but at heart she was always a traditionalist.,1,mass murder got hot bothered heart always traditionalist,4
7199,natural disaster,MÌ©xico D.F.,RaÌ¼l sends a message of condolence to Vietnam following natural disaster http://t.co/bgyTmqJ3OO,1,ra  l sends message condolence vietnam following natural disaster,4
7316,nuclear reactor,Japan,Nuclear-Deal: Indo-Japan pact lies at the heart of two US reactor-based projects: If Japan were to go ahead an...  http://t.co/XKURDr3yEv,1,nucleardeal indojapan pact lie heart two u reactorbased projects japan go ahead an,4
8832,sirens,az,"connor franta: damn sirens I hope everyone is okay. 

dan howell: can you PLEASE get MURDERED on ANOTHER STREET",1,connor franta damn siren hope everyone okay dan howell please get murdered another street,4
9286,sunk,i beg vines sorry ,@UnrealTouch fuck sake john Jesus my heart just sunk.,1,fuck sake john jesus heart sunk,4
9609,thunderstorm,no_location,NIggas playing in the thunderstorm.. 'HOPE THE LORR BLESS EM' ????,1,nigga playing thunderstorm hope lorr bless em ,4
9764,trapped,shoujo hell ,@onihimedesu the whole city is trapped! You can't leave the city! This was supposed to be a normal sports manga wit a love triangle (c),1,whole city trapped cant leave city supposed normal sport manga wit love triangle c,4
10366,weapons,??????,#Battlefield 1942 forgotten hope secret weapons,1,battlefield forgotten hope secret weapon,4
10412,whirlwind,#KaumElite;#F?VOR;#SMOFC,@byuwnbeki The sad eyes and tacit stories in your heart that night in which the whirlwind was raging,1,sad eye tacit story heart night whirlwind raging,4
10450,wild fires,"Dallas, TX",PRAYERS FOR MY COUSIN! He's in California helping with the wild fires.,1,prayer cousin hes california helping wild fires,4
10455,wild fires,"North Carolina, USA",@Jennife29916207 I was thinking about you today when I was reading about the wild fires,1,thinking today reading wild fire,4
10473,wild fires,"London, UK",@randerson62 Watching news of wild fires and hope all is ok.,1,watching news wild fire hope ok,4
10483,wild fires,no_location,My heart goes out to all those effected by the wild fires in Cali????,1,heart go effected wild fire cali,4
