id,text,target
728674116773904384,RT @FoothillsFCU23: In response the to the #FortMacFire we will be collecting cash donations at the gate before our final preseason game ht,1
729787427829612544,Redcross is offering charitable donation receipts for donations of $20 or more. You can support Wildfire Relief at,1
730510385544085505,RT @globeandmail: Red Cross to transfer $50-million to evacuees from Fort McMurray wildfire,1
733705874594746368,Live: Emergency operations briefing on north Alberta wildfire,2
730606066023665665,"$9bn fire damage to Fort McMurray, ‘the beast’ will affect forests, carbon emissions, air, water pollution, waste",3
729510573235417088,Labatt brewing water for Fort McMurray relief. #labatts,1
729690413255168002,RT @joshvisser: ICYMI: Free lap dances being offered to Fort Mac evacuees.  via @sarahberms with a hat tip to @allis,7
728819311070994432,RT @Iconix22: #ymmhelps #FortMacFire #ymmfire #FortMcMurray An Angel with its wings spread trying to put out the fires,2
729052093995081728,"RT @marcmack: Devastating wildfire in Fort McMurray, northern Alberta: 80000 evacuated, 1600 homes destroyed. Text REDCROSS to 30333 &amp; dona",7
734066329578143746,Survival Tip#11 #survival #prepping #evacuation #bugout #wildfire #FortMac #FortMacFire,6
731223030664433664,RT @SikhPA: SIKH OFFERS 100 APARTMENTS TO DISPLACED WILDFIRE VICTIMS  #Canada #Alberta #FortMacFire #RT .,7
732280910276481024,"A great personal story by @kylemuzyka, a Slave Lake evacuee, about the lasting effects of a wildfire and evacuation.",7
730896206377955328,@1derboyYoshi yeah it was! Super amazing that each donut purchase goes to the wildfire damage. Like aaaah and the donut is so pretty ;u;,1
729120603823710208,RT @GlobalCalgary: Red Cross sets up family reunification number for Fort McMurray wildfire evacuees: 1-888-350-6070 #ymmfire #abfire,1
732879117654298625,Help save @WildFireFestUK &amp; donate now! Even a small donation is a big help #LetsDoThis,1
731962337788362752,Satellite Imagery of Fort McMurray Wildfire Damage,3
729358920121081856,"Steve Roberts, exec director wildfire management, says high fire extreme, low humidity. Wide spread chance of lightning #Sask",2
730555481815539712,RT @GlobalEdmonton: WATCH: Fort McMurray wildfire evacuees line up for financial assistance in #yeg @JWongGlobalNews reports #ymmfire htt,7
729068938026352640,Auction is live! Go to @ymmauction on IG to help raise money for wildfire victims of #fortmac #FortMacFire,1
728585958132727808,Just to give you an idea of the size of the path of destruction the Fort Mac wildfire has caused. Scary stuff. :( dh,3
728603599090024449,@RMWoodBuffalo do you want residents to update their location status at wildfire@rmwb.ca once they relocate from camps north of YMM?,7
728981598159282177,RT @mb_adventurist: Wildfires in Nopiming and Whiteshell are spreading. Be careful out there folks. Check for travel bans. #manitoba #backc,6
729245788149325824,Fort McMurray wildfire: Maritimers eager to aid evacuees,7
728665742481072128,"Because he is an awesome dude, @classified is donating the proceeds from his new tune to #FortMacFire relief",1
728685059704684544,Thoughts and prayers?.. Ok but how about texting REDCROSS to 30333 to donate $5 for the unfortunate ppl of #FortMcMurray #wildfire #Canada,1
729415905638121472,Notley will visit Fort McMurray tomorrow  amid cautious optimism re: #ymmfire,8
728600195361964032,RT @Realty4: Video: An aerial look at the Fort McMurray wildfire - Albertas government has declared a state of emergency af,2
729044917981356032,"Wildfire evacuees get supplies, support at evacuation center",7
729408462606700544,Can someone not invent a large fire resistant massive inflatable water pipe 2 surround affected area then burst it,8
728601875444944897,@atbfinancial 2/2 the wildfire situation if I were to win please donate it to the Red Cross #FriendshipPays,1
728609383563862017,Communities south of Fort McMurray ordered to leave as wildfire advances,7
729459551078993922,"Russia says it will send water bombers to fight the flames, but Canada hasnt said whether were goi  via @cbcnews",1
731658396915486720,RT @RobKIRO7: Next at 630 on @KIRO7Seattle - latest on wildfire near Gold Bar. Still about 100 homes may be evacd as 12 have already been.,7
729445233486798848,Wildfire evacuees in northern B.C. allowed to return home but evacuation alerts remain  #BCwildfire @BCGovFireInfo,7
733024552549122049,@WotherspoonT says govt can help firefighters by restoring funding to wildfire mgmt. ($50 mil. cut since 09) #skpoli,1
730016314123685889,CANADA ALBERTA: #FortMacFire damage: oil firms plan restart: 88K evacuees; 2400 buildings destroyed; #WTP operating,7
734920540213940224,RT @ElectricInTX Solar will grow like wildfire in Texas homes. #solarenergy #solar #energy #Texas #solarpower,2
729138127500120064,"RT @ImpactBrassSA: Thank you to everyone who came out to support us! Over $2,000 was raised tonight for wildfire relief efforts out west!",1
734777933403934720,RT @calgaryherald: The fires that those guys fought is a lifetime of fires for a firefighter. Crews dealing with stress post-wildfire htt,2
730725285079879680,Long lineups expected for wildfire relief cards: Hundreds of people will be waiting outside Calgary’s McMahon,1
729734692837023745,All help is needed!! And welcomed.,9
728606798282919936,RT @naomiyamamoto: BC Liquor stores accepting donations to help Alberta wildfire relief efforts:  @RedCrossAB,1
729513654404587520,RT @m_m_campbell: Not cool. The climate context for Albertas wildfires. Good perspective:  #environment #climate #y,2
728624787191402496,Coronation has donated to the Red Cross to support Alberta Wildfire relief. PLEASE follow this link and donate.,1
729138696021139457,"RT @abcnews: Out of control #FortMcMurray wildfire doubles in size, homes destroyed",3
731940349506002944,Alberta government releases #FortMcMurray wildfire damage surveillance app,3
733692223422910466,Gee Im with AMA I guess I should look to change. Im not interested in dealing with poor businesses vendor,8
729333286489628676,"Ontario boys lemonade stand raises more than $2,500 for Alberta wildfire relief  ὠA5 years old, and an inspirationὄF",1
729969608669724672,RT @tiniskwerl: #FortMacFire from #Space #Alberta 34 #Wildfires 5 #OutOfControl 23 UnderControl +1.5K #Firefighters #YMMFire #Canada :,8
731942387354763264,Please pray 4 the muslims in Alberta Canada,4
732359478243262465,&gt;@CBCNorth N.W.T.s Madeline Lake fire reaches 8 hectares: N.W.T.s first wildfire of the season continues to,2
729075067393478657,"RT @Alberta411: [X-post] Hi r/edmonton, Im interested in disaster relief and I would love your input on the RMWB Wildfire resp",1
