id,keyword,location,text,target,preprocessed_text
0,ablaze,no_location,"Communal violence in Bhainsa, Telangana. ""Stones were pelted on Muslims' houses and some houses and vehicles were set ablaze…",1,communal violence bhainsa telangana  stones pelted muslims house house vehicle set ablaze 
1,ablaze,no_location,"Telangana: Section 144 has been imposed in Bhainsa from January 13 to 15, after clash erupted between two groups on January 12. Po…",1,telangana section imposed bhainsa january  clash erupted two group january  po 
2,ablaze,New York City,Arsonist sets cars ablaze at dealership https://t.co/gOQvyJbpVI,1,arsonist set car ablaze dealership
3,ablaze,"Morgantown, WV",Arsonist sets cars ablaze at dealership https://t.co/0gL7NUCPlb https://t.co/u1CcBhOWh9,1,arsonist set car ablaze dealership
4,ablaze,no_location,"""Lord Jesus, your love brings freedom and pardon. Fill me with your Holy Spirit and set my heart ablaze with your l… https://t.co/VlTznnPNi8",0, lord jesus love brings freedom pardon fill holy spirit set heart ablaze l 
5,ablaze,OC,"If this child was Chinese, this tweet would have gone viral. Social media would be ablaze. SNL would have made a racist j…",0,child chinese tweet would gone viral social medium would ablaze snl would made racist j 
6,ablaze,"London, England","Several houses have been set ablaze in Ngemsibaa village, Oku sub division in the North West Region of Cameroon by… https://t.co/99uHGAzxy2",1,several house set ablaze ngemsibaa village oku sub division north west region cameroon by 
7,ablaze,Bharat,Asansol: A BJP office in Salanpur village was set ablaze last night. BJP has alleged that TMC is behind the incident. Police has b…,1,asansol bjp office salanpur village set ablaze last night bjp alleged tmc behind incident police b 
8,ablaze,"Accra, Ghana","National Security Minister, Kan Dapaah's side chic has set the internet ablaze with her latest powerful video.… https://t.co/rhzOMQVSlj",0,national security minister kan dapaah s side chic set internet ablaze latest powerful video 
9,ablaze,Searching,This creature who’s soul is no longer clarent but blue ablaze This thing Carrying memories Memories of… https://t.co/tBKSNDrDoX,0,creature who s soul longer clarent blue ablaze thing carrying memory memory of 
10,ablaze,no_location,Images showing the havoc caused by the #Cameroon military as they torched houses in #Oku.The shameless military is reported…,1,image showing havoc caused cameroon military torched house oku the shameless military reported 
11,ablaze,no_location,Social media went bananas after Chuba Hubbard announced Monday evening his plans to return to #okstate. https://t.co/peN…,0,social medium went banana chuba hubbard announced monday evening plan return okstate 
12,ablaze,no_location,Hausa youths set Area Office of Apapa-Iganmu Local Council Development Area ablaze. Okada Riders stormed the LG area office…,1,hausa youth set area office apapa iganmu local council development area ablaze okada rider stormed lg area office 
13,ablaze,HYDERABAD,Under #MamataBanerjee political violence &amp; vandalism continues to unabated in West Bengal! office in Asanol was…,1, mamatabanerjee political violence amp vandalism continues unabated west bengal office asanol was 
14,ablaze,"Reno, NV","AMEN! Set the whole system ablaze, man. https://t.co/J08xHDcGbD",0,amen set whole system ablaze man 
15,ablaze,no_location,Images showing the havoc caused by the #Cameroon military as they torched houses in #Oku.The shameless military is… https://t.co/gIwZCH533D,1,image showing havoc caused cameroon military torched house oku the shameless military is 
16,ablaze,no_location,No cows today but our local factory is sadly still ablaze #REDJanuary2020 https://t.co/CMyuKzrcKz,1,cow today local factory sadly still ablaze 
17,ablaze,no_location,Rengoku sets my heart ablaze😔❤️🔥 P.s. I missed this style of coloring I do so here it is c: #鬼滅の刃 https://t.co/YrUF9g68s0,0,rengoku set heart ablaze p s missed style coloring c      
18,ablaze,Worldwide,paulzizkaphoto: “Rundle Ablaze” Wishing you all a good evening... https://t.co/d0NlME1HQz https://t.co/hlVlT6qiIp,0,paulzizkaphoto  rundle ablaze wishing good evening  
19,ablaze,no_location,French cameroun set houses ablaze in Ndu and roasted two young boys in their homes in #targeted killings in a #GenocideInSou…,1,french cameroun set house ablaze ndu roasted two young boy home targeted killing genocideinsou 
20,ablaze,no_location,Cameroon's #BIR soldiers on the 05/01/2020 invaded the #SouthernCameroons Village of Kimar - So setting ablaze a total of…,1,cameroon s bir soldier  invaded southerncameroons village kimar  setting ablaze total of 
21,ablaze,no_location,As fires ablaze throughout the land/as the prophosized apocalypse comes to fruition/not a building standing/as we all come st…,1,fire ablaze throughout land as prophosized apocalypse come fruition not building standing as come st 
22,ablaze,Italy,"#ThankfulTuesday Isaiah 43:2 When you pass through the waters, I will be with you; and when you pass through the r… https://t.co/jEp3L1oU36",0, thankfultuesday isaiah  pas waters you pas r 
23,ablaze,"` ˗ˏˋ i'm⠀waiting⠀for⠀you⠀to⠀pour⠀my⠀𝘀𝗶𝗻𝘀⠀onto⠀me⠀;⠀call⠀me⠀your⠀𝘭𝘰𝘷𝘦𝘳⠀whispering⠀hymns⠀to⠀my⠀ear⠀,⠀crucify⠀me⠀in⠀claims⠀of⠀praising⠀me .","⠀⠀When you walk through the fire, ⠀⠀you will not be scorched, and the ⠀⠀flames will not set you ablaze. ──── product…",0, when walk fire  you scorched  flames set ablaze    product 
24,ablaze,Okielahoma,Originally they were intended to be fired at boarders or the opposing ship's crew from gunners in the ships's riggi… https://t.co/z5vPwuyBCL,1,originally intended fired boarder opposing ship s crew gunner ships s riggi 
25,ablaze,no_location,Warm greetings to all on the occasion of #Lohri. As winter passes by may everyone's woes and troubles be set ablaze in t…,0,warm greeting occasion lohri winter pass may everyone s woe trouble set ablaze t 
26,ablaze,no_location,"Another arson in Njikom,Boyo,NWR. The ambazombies yesterday 13/1/2020 set ablaze the Council building. Which country in the wo…",1,another arson njikom boyo nwr ambazombies yesterday  set ablaze council building country wo 
27,ablaze,Havana 3am,"Another public market in #Haiti mysteriously set ablaze. The independent merchants, who are overwhelmingly women, become…",1,another public market haiti mysteriously set ablaze independent merchants overwhelmingly women become 
28,ablaze,no_location,that is kind true sadly,0,kind true sadly
29,ablaze,no_location,I swear that jam will set the world ablaze,0,swear jam set world ablaze
